# lambda_val.val 0.32500
    1        68.4241271553
    2        59.9642723273
    3        48.6595651372
    4        35.9968214208
    5        38.7459506545
    6        35.9906533935
    7        43.2425627469
    8        50.5967115383
    9        46.7421524097
   10        37.8323093330
   11        31.1583349424
   12        45.8173182037
   13        39.6999455677
   14        44.0392703910
   15        37.3922332153
   16        42.4937176294
   17        29.2928157109
   18        36.0101652118
   19        37.0617733436
   20        39.8654876697
   21        54.3054695171
   22        42.8669086113
   23        50.2867384476
   24        58.1734745484
   25        61.1319146278
   26        42.2080310002
   27        51.6565426157
   28        49.1448181373
   29        44.7284000869
   30        31.4764644120
   31        50.0386248130
   32        56.8565084643
   33        40.2560259525
   34        56.7452635078
   35        46.5659523497
   36        55.4830950679
   37        51.2277607442
   38        61.6638306310
   39        39.5763252594
   40        43.4876316330
   41        46.5462630083
   42        33.5326667383
   43        50.0253738141
   44        42.2364751060
   45        33.0546356727
   46        41.0722816858
   47        38.0810317978
   48        57.8280852521
   49        50.6309915611
   50        47.5816610745
   51        59.8592272725
   52        52.2799750468
   53        59.5460590451
   54        48.0423394009
   55        45.7217893383
   56        54.7551218832
   57        36.3765014598
   58        60.1618428033
   59        59.5882698071
   60        53.0810689198
   61        50.9064095020
   62        45.3959348352
   63        37.3571211009
   64        46.2641679908
   65        59.0188915042
   66        45.0152871852
   67        32.8778072614
   68        27.4362302869
   69        37.0162481347
   70        37.0621651353
   71        37.9041971612
   72        23.0855511158
   73        32.8879647993
   74        27.2056525774
   75        30.9110623043
   76        33.7275802597
   77        31.3916323049
   78        27.0248700774
   79        43.9364615110
   80        48.1105481133
